title,text,label
Kucinich: Reclaiming the money power,"'john sutter: the current monetary system has led to a concentration of wealth. <SEP> he says the Founders never intended that the only way the government was to be funded was to borrow money. <SEP> the debt ceiling should lead directly to debate about monetary policy, he writes.'",1
Trump Just Woke Up & Viciously Attacked Puerto Ricans On Twitter Like A Cruel Old Man,"' Trump was going to fix every infrastructure problem in the country and Make America Great Again in the process. <SEP> 84 percent of Puerto Rican people are currently without electricity. <SEP> the insufficient response in Puerto Rico has nothing to do with Trump, in his mind, and can only be blamed on the people there who do not live in a red state and have no electoral college votes to offer the new president for 2020.'",1
"Liberals wailing about gun control, but what about abortion?",""" More people die every year from overdoses or auto accidents then from guns. <SEP> 'the left’s obsession with gun “control” is just that, control. <SEP> it has always been about Democrats wanting to control every aspect of your life.""",1
Laremy Tunsil joins NFL players in kneeling during national anthem,"'Colin Kaepernick rightly chose to kneel during the national anthem before NFL games. <SEP> many racists and idiots came out with critical response to what was a peaceful, important statement against police brutality and systemic american racism. <SEP> Kap’s protest is strictly against racism, which is what this country was built on.'",1
It's 1968 All Over Again,"'a half-century ago, the country was divided between a loud radical minority and a silent conservative majority. <SEP> after the polarizing election of a once-polarizing Ronald Reagan, the nation is once again split in two. <SEP> a battle grows over which is more toxic -- the statist malady that was eating away the country.'",0
Gold Price in December 2017 - Myriads of Signals and Analogies,"""gold has broken below the rising, medium-term support line and the most recent local top took place at the apex of the triangle pattern. <SEP> The most recent decline took place just before the end of the session. <SEP> the reversal is based on a combination of two patterns - a 'head and shoulders' pattern and an 'initial' level.""",1
Conservatives & Trump Can Still Stop the Worst of Obamacare,"'president and conservatives must act now to protect taxpayers and those disproportionately harmed by the ACA. <SEP> the first step is to protect them from new Obamacare taxes coming in January. <SEP> if congress fails to act, the health insurance tax would amount to a new annual $14.3 billion tax increase.'",1
Don't Fall for Jimmy Kimmel's Cheap Zero-Sum Emotionalism,"'bill Cassidy\'s ""repeal"" bill would kick 30 million americans off health insurance. <SEP> john avlon says the bill isn\'t a good idea, but it\'s not a bad idea. <SEP> the bill would allow states to apply for waivers to change what qualifies as essential.'",1
"Tell Us, Mr. Bannon -- Just What Is Trumpism?","'john avlon: if there is no such thing as Trumpism, it\'s hard to know what it is. <SEP> he says the president is a wingman, but he\'s building his own brand of elitists. <SEP> the president\'s new role as a ""wingman"" isn\'t the fault of his favorite punching bags, he writes.'",1
THEY DON’T CALL IT ‘THE GREAT TWEET OF CHINA’,"'john avlon: we thought he understood the urgency of our border crisis. <SEP> he says 243 days ago, he would have sent the navy seabees and army corps of engineers to build the wall. <SEP> the wall is 100 times more urgent than hurricanes - a problem 100 times worse than irma.'",1
Racist Scare: The New McCarthyism,"'john avlon: in 1950s, innocent americans were smeared and blacklisted for being supposed communists. <SEP> he says the actual number of Communists was tiny and not commensurate with witch hunt. <SEP> but he writes, we must embrace our common American identity, rooted in our best traditions.'",1
‘Access Hollywood’ to Trump: The tape is ‘very real’,"'the 2005 hot-mic recording captured the former reality star saying he could “grab women by the pussy”. <SEP> at least 16 women came forward to say he sexually harassed or assaulted them. <SEP> after publication of the tape, he apologized and at no time stated that the tape was faked.'",1
ESPN accepted 'SportsCenter' anchor Jemele Hill's apology for her anti-Trump tweets,"' Hill\'s tweet was in response to Jones\' comments that any player who disrespected the flag would be cut from his team. <SEP> ""my comments on Twitter expressed my personal beliefs,"" she wrote on twitter. <SEP> the network issued a followup statement after her apology.'",1
"Trump Decertified the Iranian Deal, Just 'Cause","""president obama decertified the Iran deal, saying it's no longer in the national security interest of the u.s. he announced new sanctions, but didn't do anything that would alter the Obama-era deal. <SEP> the deal leaves the nuclear agreement in place, but puts congress in charge of whether or not to follow up with action.""",1
Ivana Trump said Donald once abandoned Donald Jr. on a tarmac because he was 5 minutes late for a flight,"'Ivana Trump\'s new book, ""Raising Trump,"" details a key feature of the Trump family. <SEP> ""the entire Trump clan arrived exactly on time,"" she writes. <SEP> if you weren\'t on the inside, the meeting or the flight would start without you,"" she says.'",0
Trump said it would be a 'very sad day' for North Korea if the US had to use force,"' ""what we do is kill ISIS,"" he says of u.s. involvement in Syria. <SEP> he also touts his administration\'s success against iSIS compared with his predecessor. <SEP> ""nothing is inevitable....'",1
The State Department said there's less urgency to release Clinton's emails due to low interest,"'a conservative watchdog group sued the state department for the 100,000 emails. <SEP> it says the urgency to release the documents has been diminished by the public\'s lack of interest. <SEP> a state department spokeswoman says the department is ""working diligently"" to process the documents.'",1
‘Serial misconduct and perversion’: Trump accusers describe incidents ‘a thousand times worse than what Franken has done’,"'a total of 16 women joined together to address their stories of sexual assault and sexual harassment at the hands of president Donald Trump. <SEP> while many of these women came forward during the 2016 election, the Trump campaign attacked them, their lives and many right-wing activists invented information designed to discredit them.'",1
Democrats Are Working Hard to Destroy Their Party,"""john avlon: if the president doesn't improve, the party may face the weakest, most unpopular president in modern times. <SEP> he says the focus should be on guarding the separation of powers, stressing facts over falsehoods. <SEP> the u.s. needs a new president, he writes, but it's not the party of the future.""",1
TIME FOR A CHANGE. The Energy Report 01/02/18,"'at least 19 people were reported killed in street protests in Iran. <SEP> the government of Iran says it may seek the death penalty for what they say are crimes against God. <SEP> Despite all the bearish hype that the market had last year and bad info this year, oil looks poised for a big move.'",1
Far-right leaders have double standards for immigrants,"'polakow-suransky is the author of "" go back to where you came from: the backlash Against Immigration and the Fate of Western Democracy"" he says he sees similarity in how ""our president reacts to a horrible terrorist attack,"" such as the murders in new york city on Halloween.'",1
"Tear Down White Supremacy, Start w/Planned Parenthood",'planned Parenthood is to the abortion-loving Left what Adolf Hitler’s bunker would have become to fascists had Germany not demolished it in the late 1980s: a sort of holy shrine upon which adulation and adoration can be fixated.',1
Here’s your leftover turkey: The case for Hillary Clinton 2020,"""john avlon: if you're sick of right-wingers, encourage her to run for president in 2020. he says she's the worst loser of all time, but she can't stop, which is good for the republican party. <SEP> she says she has ample experience as a senator and secretary of state in actually getting things done.""",1
Shannon Sharpe goes after NFL owners’ hypocrisy over “unity”,"""Skip Bayless and Shannon Sharpe discussed the national anthem on FS1's undisputed. <SEP> he said president obama's comments about players kneeling during a rally in alabama were what brought the NFL, the owners and players together. <SEP> sharpe also pointed out a number of owners, including Jerry Jones, Daniel Snyder, Shad Khan, and Robert Kraft, who contributed to the president's inauguration.""",0
"Trump: FBI Ruined Flynn, Let Clinton Go Free","'the president said he felt ""very badly for Flynn"" and declared that the FBI treated the former national security adviser much more harshly than it did Clinton. <SEP> he specifically referenced Clinton\'s grilling by the FBI over her email server in July 2015.'",0
9 Famous Criminals Who Were Murdered in Prison,"'being a notorious criminal also has plenty of downsides, especially when you’re heading to a prison filled with other hardened criminals. <SEP> the men on this list have proved that maintaining a low profile in prison beats having a famous name. <SEP> pedophiles who ruined the lives of hundreds of children were murdered in prison by fellow inmates, whether it was due to their notoriety or personal issues.'",0
A Grain Of Saul: Stopping Sexual Assault Is Not A Partisan Issue Or A Women's Issue. It's Up To All Of Us.,"""john avlon: more women are reporting that Harvey Weinstein harassed or sexually assaulted them. <SEP> he says this isn't a partisan issue; it's time for men to stand up for the victims. <SEP> men can't be passive observers of the kinds of harassment and sexism, he writes.""",0
Trump Right On China The First Time,"""president obama's return to disciplining china over trade crimes is the right position. <SEP> he criticized the president for at first reversing course on the issue.""",1
Trump's Media Furore... US Democracy On Thin Ice,"""daniel treisman: for Trump to impugn media freedom, it shows how fragile democratic rights have become. <SEP> treizman: the attack on american democracy has already been underway before he entered the white house. <SEP> he says it's an audacious attack on democratic rights, as supposedly enshrined in the first amendment. <SEP> three-quarters of americans believe they're entitled to free speech and free speech.""",1
Trump's threats against North Korea signify real danger of war,"""a war with north korea would pose an overwhelming threat to the world's ruling class. <SEP> a nuclear war would cool the planet by up to 10 degrees Celsius, potentially sparking a global nuclear winter. <SEP> the u.s. has been at war almost continuously for more than 25 years.""",1
"When the Parades Are Over, Who Stands With Unions?","'unions are down to about 7 percent of the private workforce. <SEP> john avlon: when Republicans get control, they attack unions relentlessly. <SEP> unions help workers organize, protect workers from abuse, he says.'",1
"Chappaqua's Hillary Clinton Lets 'Guard Down,' Will Reveal 'What Happened'",""" The book will be published on sept. 12 by Simon and Schuster. <SEP> it will discuss what it was like to face Trump, Russian interference and the experience Clinton had. <SEP> in November, Clinton is set to speak at the business council of westchester's annual dinne r.""",0
Goodell sends letter to NFL owners regarding kneeling during anthem,"'nfl commissioner: ""current dispute over the national anthem is threatening to erode the unifying power of our game"" ""like many of our fans, we believe that everyone should stand for the National Anthem,"" he writes. <SEP> the kneeling/protesting intensified in late-September after comments from president Donald Trump.'",0
"Donald Trump labels NFL player ""son of a bitch""","' Colin kaepernick is one of the most divisive players to have ever played in the NFL, on the back of his stance against police brutality last year. <SEP> the 29-year-old is currently unemployed because of his actions, however, and NFL clubs are reluctant to touch him because of the publicity that his protests attract.'",1
Harvey Weinstein became a major player in Democratic politics — here's the wide net of people he has given money to,"'since the 2000 election cycle, Weinstein has donated nearly $1 million in his own name. <SEP> he has also collected and provided roughly $1.5 million as a part of ""bundled"" donations. <SEP> 10 senators have donated campaign contributions from Weinstein to charity.'",0
McMaster: Potential for War With North Korea Grows Daily,"'View 3 more images In this undated photo provided on Sunday, Dec. 3, 2017, by the North Korean government, North Korean leader Kim Jong Un inspects a local tire factory in Chagang Province, North Korea. <SEP> (Korean Central News Agency/Korea News Service via AP) (Newser) – Over two days, two sets of strong words about North Korea. <SEP> During a Saturday speech in California, White House national security adviser HR McMaster said the possibility of war with the Hermit Kingdom is ""increasing every day, which means that we are in a race, really, we are in a race to be able to solve this problem."" <SEP> And as far as problems go, he believes there are none bigger for the US, and there\'s ""not much time left,"" per CNN. <SEP> He called on China to step up to the plate and choke the flow of oil into North Korea, noting, ""you can\'t shoot a missile without fuel."" <SEP> He specified that he and President Trump agree a total oil embargo would ""be appropriate at this point."" <SEP> He reiterated the call for China to step up while appearing on Fox News Sunday, but added, ""If necessary, the president and the United States will have to take care of it."" <SEP> Sen. Lindsey Graham set his sights on North Korea, too, while appearing on CBS\' Face the Nation Sunday, conveying his belief that it\'s time to pull the families of the 28,500 US troops stationed in South Korea out of the country, reports the AP. <SEP> Graham, a member of the Senate Armed Services Committee, also noted he would press the Pentagon to refrain from sending dependents to South Korea going forward. <SEP> ""It\'s crazy to send spouses and children to South Korea, given the provocation of North Korea. <SEP> South Korea should be an unaccompanied tour."" <SEP> Graham also expressed confidence in the Trump administration, saying the president has ""the best national security team of anybody I have seen since I have been in Washington""; Graham has been in Congress since 1995.'",0
CNN Attacks Roy Moore Just Because He Shared My BarbWire Piece,"'a report titled ‘Roy Moore’s Facebook page shared inflammatory memes, article praising Russia’s anti-gay laws,’ CNN (Cable News Network) sternly criticized the conservative contents of the Facebook page belonging to Roy Moore, the Republican nominee for US Senate in Alabama. <SEP> As a conservative evangelical Christian, I am not surprised that CNN attacked Moore just because he shared one of my BarbWire articles.'",1
Here's How the Ruling Class USES the Left,"""john avlon: the left is wrong in its view that ordinary people are the solution. <SEP> he says the ruling class is able to persuade ordinary people to change their values. <SEP> the left's view is that the majority of people in the u.s. are oppressed, he writes.""",1
Channel 4 documentary My Week As A Muslim sparks row over 'brownfacing',"'channel 4 have been accused of ""brownfacing"" a documentary showing a white woman disguised as a Muslim. <SEP> the 44-year-old was given a prosthetic nose, fake teeth and darkened skin. <SEP> viewers took to social media to slam the nature of the disguise.'",0
Metal Man,"'Metal Man is the second easiest third easiest Robot Master from Mega Man 2. <SEP> Metal Man and Shadow Man are very similar, as they are the coolest Robot Masters in their respective games.'",0
Vegas Survivor Proves FBI Lying Scum! Wow!,'a young man named Gio Rios just proved the FBI is lying scum about the Las Vegas shooting. <SEP> Tell Trump to start firing people until the truth comes out!',1
Thanks Trump: Birther Joe Arpaio is back,"""the 85-year-old disgraced former Arizona sheriff recently announced his candidacy for a seat in the same state. <SEP> he spewed the false and racist assertion that former president Barack Obama's birth certificate is a phony document. <SEP> arpaio is the perfect fit for the president's hardline immigration agenda and widespread federal crackdowns.""",1
Steve Bannon’s big problem isn’t Breitbart. It’s Trump,"'a note to Steve Bannon: the most dangerous thing you can do is cross Donald Trump. <SEP> one of Bannon\'s strongest allies — the Mercer family — issued a stinging rebuke on Thursday. <SEP> ""i support president Trump and the platform upon which he was elected,"" Rebekah mercer said.'",1
Trump’s anti-Muslim tweets: Pathological racism or severe mental decline?,"""a lot of talk this week about president obama's mental state. <SEP> john avlon: he's madly tweeted lies about his tax plan, insulted the media, slandered old friends. <SEP> it's so bad that it may have caused a diplomatic break with our closest ally, he says.""",1
Republicans approve 36-year-old judicial nominee who has never tried a case,"'president Donald Trump\'s nominee for federal judge in Alabama was just approved by every Republican on the Senate Judiciary Committee. <SEP> he was unanimously rated ""not qualified"" by the american bar association. <SEP> one of Talley\'s most controversial statements was a blog post in which he claimed that president Barack Obama was about to launch the greatest attack on our constitutional freedoms in our lifetime.'",1
Republican Student Group At SDSU Demands Muslim Student Association Condemn Barcelona Attacks,'the letter was signed by SDSU College Republicans chairman Brandon Jones. <SEP> it said the student group’s leadership should resign if they do not disavow Islamic terrorism.',0
Let America Be America Again - Poem by Langston Hughes,"""john avlon: let's be the dream the dreamers dreamed; let it be a land where liberty is real. <SEP> he says he's the one who dreamt our basic dream while still a serf of kings. <SEP> the dream is almost dead today, he writes, but he swears this oath-- America will be.""",0
WATCH: Alex Jones convulses in demonic rant against ‘evil’ Joe Scarborough and Mika Brzezinski,"'the infowars host attacked the “Morning Joe” co-hosts in a crazed tirade. <SEP> he compared them to demons, parasites and disease. <SEP> Jones promised the friends-turned-critics of president Donald Trump would be “removed” once Jones and his followers triumphed over their enemies.'",0
Tom Arnold: Clinton begged me to release tape of Trump’s racist rant,"""'i'd love to be a hero, but i can't hurt these families,' he said.""",0
Nelly Arrested On Rape Charges: Report,'a woman has accused the rapper of raping her on his tour bus in Washington. <SEP> the alleged rape is reported to have occurred at approximately 3:45 AM Saturday. <SEP> Nelly is currently on tour with country act Florida Georgia Line.',0
Obama: Men need to get over their sexism and elect Clinton,"'president Obama: ""we have to ask ourselves, as men, why we haven\'t had a woman president before"" he says he hopes his daughters will be able to achieve anything they want to achieve. <SEP> he also says his wife is not just his equal but my superior.'",1
Pitts: President finally gets what he deserves,'john avlon: a great many americans reached a moment of decision and reacted as you would have hoped. <SEP> he says a president uses what theodore Roosevelt called the bully pulpit to stand for what is right. <SEP> the stunning rebuke offers evidence that we have not yet abandoned who and what we are supposed to be.',1
Hillary Clinton’s niece is voting for Donald Trump,"'macy Smit, 25, is the daughter of Bill Clinton\'s half-brother, Roger Clinton. <SEP> ""i have been a Democrat my entire life, but Trump is what we need right now,"" the hairstylist said. <SEP> Smit admitted she’s never met Hillary Clinton, and said that side of the family doesn’t think much of her.'",1
"If you don’t believe the media has lost their minds, watch this and think again…",'the media’s reporting has now become one of the most central issues being covered by the media. <SEP> The issues are not the central matters that concern Trump’s opponents – they just seem focused on one thing – bringing President Trump down. <SEP> some corners of the media seem to have totally lost focus on what their jobs are supposed to be.',1
Video from Brazil: Muslim migrants throw homemade bomb at anti-Migration Law protesters,"' At a recent protest against this law in So Paulo, Muslim migrants demonstrated their distaste for dissent.'",0
